gene_symbol,mrna_hl_h
BIN3,2.56410256410256
BIRC2,3.63636363636364
BIRC5,8.92307692307692
BIRC6,4.0
BIRC7,3.38983050847458
BIVM,3.7037037037037
BKGD,3.44827586206897
BLCAP,3.2258064516129
BLM,3.17460317460317
BLMH,8.47058823529412
BLOC1S1,24.0
BLOC1S2,3.63636363636364
BLOC1S3,2.35294117647059
BLOC1S4,2.7027027027027
BLOC1S5,2.85714285714286
BLOC1S6,6.4
BLTP2,16.695652173913
BLTP3A,5.71428571428571
BLTP3B,8.88888888888889
BLVRA,9.71428571428572
BLVRB,24.0
BLZF1,2.77777777777778
BMAL1,2.98507462686567
BMAL2,3.07692307692308
BMERB1,8.0
BMF,2.17391304347826
BMI1,4.16
BMP1,5.33333333333333
BMP2,2.32558139534884
BMP2K,3.27868852459016
BMP5,3.07692307692308
BMP6,18.1818181818182
BMP8B,3.57142857142857
BMPR1A,2.66666666666667
BMPR1B,2.4390243902439
BMPR2,6.85714285714286
BMS1,6.0
BMS1P20,9.23076923076923
BMX,6.58064516129032
BNC2,2.63157894736842
BNIP1,3.125
BNIP2,3.38983050847458
BNIP3,12.3529411764706
BNIP3L,13.44
BOC,3.17460317460317
BOD1,3.50877192982456
BOD1L1,3.2258064516129
BOK,4.28571428571429
BOLA1,3.125
BOLA3,24.0
BOP1,3.7037037037037
BORA,2.7027027027027
BORCS5,3.38983050847458
BORCS6,2.1978021978022
BORCS7,2.8169014084507
BORCS8-MEF2B,3.38983050847458
BPGM,4.85714285714286
BPHL,2.5974025974026
BPNT1,9.625
BPNT2,8.53333333333333
BPTF,5.14285714285714
BRAF,2.66666666666667
BRAP,2.98507462686567
BRAT1,6.06060606060606
BRCA1,8.0
BRCA2,2.63157894736842
BRCC3,3.50877192982456
BRD1,2.5974025974026
BRD10,2.63157894736842
BRD3,3.125
BRD4,6.33333333333333
BRD7,3.33333333333333
BRD8,3.07692307692308
BRD9,2.94117647058824
BRF1,5.04347826086957
BRF2,2.22222222222222
BRI3,8.0
BRI3BP,4.0
BRICD5,3.17460317460317
BRIP1,2.7027027027027
BRIX1,2.8169014084507
BRK1,16.0
BRMS1,8.22222222222222
BRMS1L,3.27868852459016
BROX,9.77777777777778
BRPF1,2.46913580246914
BRPF3,3.03030303030303
BRSK1,2.27272727272727
BRSK2,3.38983050847458
BRWD1,2.63157894736842
BRWD3,4.0
BSCL2,24.0
BSDC1,3.50877192982456
BSG,24.0
BST2,24.0
BTAF1,2.94117647058824
BTBD1,12.0
BTBD10,3.7037037037037
BTBD2,11.0
BTBD3,2.73972602739726
BTBD6,8.19047619047619
BTBD7,2.73972602739726
BTBD9,2.38095238095238
BTF3,19.9024390243902
BTF3L4,2.98507462686567
BTG1,2.94117647058824
BTG2,2.0
BTG3,2.40963855421687
BTN2A1,2.85714285714286
BTN2A2,3.07692307692308
BTN2A3P,2.27272727272727
BTN3A1,4.27586206896552
BTN3A2,6.71428571428571
BTN3A3,3.03030303030303
BTRC,24.0
BUB1,8.4
BUB1B,3.84615384615385
BUB3,5.85714285714286
BUD13,2.35294117647059
BUD23,24.0
BUD31,5.6
BYSL,3.17460317460317
